word,emotion,emotion-intensity-score
outraged,anger,964
brutality,anger,959
hatred,anger,953
hateful,anger,940
terrorize,anger,939
infuriated,anger,938
violently,anger,938
furious,anger,929
enraged,anger,927
furiously,anger,927
screwyou,anger,924
murderer,anger,922
fury,anger,922
execution,anger,917
angered,anger,916
savagery,anger,915
slaughtering,anger,914
veryangry,anger,913
assassinate,anger,912
fuckoff,anger,912
annihilation,anger,912
rage,anger,911
loathe,anger,909
damnation,anger,906
roadrage,anger,906
fucktard,anger,906
homicidal,anger,906
furor,anger,900
hostile,anger,898
annihilate,anger,898
murder,anger,897
raging,anger,896
sopissed,anger,894
pissed,anger,894
rape,anger,894
explosive,anger,894
obliterated,anger,894
vengeful,anger,894
ferocious,anger,894
infuriates,anger,894
killing,anger,893
combative,anger,891
gofuckyourself,anger,886
vengeance,anger,886
wrath,anger,885
torment,anger,885
vicious,anger,884
threatening,anger,882
massacre,anger,882
bloodthirsty,anger,875
abhorrent,anger,875
pissoff,anger,875
fighting,anger,868
annihilated,anger,865
attacking,anger,865
angriest,anger,864
bloodshed,anger,864
smite,anger,862
brawl,anger,861
assault,anger,859
assassination,anger,859
strangle,anger,859
explode,anger,859
malicious,anger,859
tirade,anger,859
hostility,anger,859
loathsome,anger,857
attack,anger,853
hell,anger,853
murderous,anger,853
malice,anger,852
terrorism,anger,851
beating,anger,849
pissingmeoff,anger,848
desecration,anger,848
outrage,anger,848
irate,anger,844
tumultuous,anger,844
destroying,anger,844
violent,anger,844
stab,anger,844
infuriate,anger,844
slaughter,anger,844
abomination,anger,844
obliterate,anger,843
dumbbitch,anger,841
belligerent,anger,841
detest,anger,838
hostilities,anger,837
prick,anger,835
cruelty,anger,833
horrid,anger,833
rampage,anger,833
rabid,anger,833
torture,anger,833
satanic,anger,828
hate,anger,828
hating,anger,828
tyrannical,anger,828
demonic,anger,828
ragemode,anger,828
despicable,anger,828
ruinous,anger,825
condemn,anger,825
extermination,anger,824
riots,anger,824
dickhead,anger,824
angry,anger,824
demolish,anger,824
livid,anger,821
madman,anger,820
vindictive,anger,819
ferocity,anger,818
terrorist,anger,818
venomous,anger,818
threaten,anger,818
hateyou,anger,818
effyou,anger,818
abhor,anger,816
carnage,anger,814
savage,anger,814
atrocity,anger,814
fuming,anger,812
pissedoff,anger,812
pissesmeoff,anger,812
fierce,anger,812
abuse,anger,812
barbaric,anger,812
berserk,anger,812
fucksake,anger,812
vendetta,anger,812
angrytweet,anger,812
destroyer,anger,812
tyrant,anger,812
anger,anger,811
pieceofshit,anger,810
slam,anger,803
punching,anger,803
homicide,anger,803
punched,anger,803
bitch,anger,803
fights,anger,803
destructive,anger,797
ruthless,anger,797
villainous,anger,797
slap,anger,791
destroyed,anger,788
ragetweet,anger,788
slaughterhouse,anger,788
retaliatory,anger,788
yelling,anger,788
riot,anger,788
punishing,anger,788
growthefuckup,anger,788
diabolical,anger,788
clash,anger,783
manslaughter,anger,783
hellish,anger,781
bloody,anger,781
loath,anger,781
quarrel,anger,781
detonation,anger,781
sinister,anger,781
fumin,anger,779
hateeee,anger,779
treacherous,anger,779
accusing,anger,779
madder,anger,773
retaliate,anger,773
revulsion,anger,773
horrific,anger,773
scorn,anger,769
bomb,anger,766
deplorable,anger,766
anarchist,anger,765
devastation,anger,765
resent,anger,765
firestorm,anger,765
contemptible,anger,764
shittest,anger,760
smash,anger,758
deadly,anger,758
soangry,anger,758
rant,anger,758
cruel,anger,758
outburst,anger,757
snarl,anger,754
crazed,anger,750
dontmesswithme,anger,750
profane,anger,750
aggravating,anger,750
douchebags,anger,750
offend,anger,750
horror,anger,750
revolting,anger,750
despise,anger,750
vulgarity,anger,750
growling,anger,750
stfu,anger,750
molestation,anger,742
fuckedoff,anger,742
erupt,anger,742
violence,anger,742
horrible,anger,742
screaming,anger,742
threat,anger,742
bastards,anger,741
revenge,anger,738
menacing,anger,735
crushing,anger,735
damn,anger,735
catastrophe,anger,735
demon,anger,735
argue,anger,734
fedup,anger,734
vehement,anger,734
thrash,anger,734
warfare,anger,734
revolt,anger,734
flog,anger,734
deplore,anger,734
persecute,anger,734
riotous,anger,734
altercation,anger,729
warlike,anger,728
mutiny,anger,727
shitday,anger,727
sabotage,anger,727
castrate,anger,727
strike,anger,721
malevolent,anger,721
disaster,anger,721
disastrous,anger,720
disdain,anger,719
choke,anger,719
arseholes,anger,719
devil,anger,719
scream,anger,719
spiteful,anger,719
bastarding,anger,719
scorching,anger,719
horseshit,anger,719
treachery,anger,719
slay,anger,719
brutal,anger,719
tumult,anger,719
madden,anger,719
aggravates,anger,719
vermin,anger,719
anarchism,anger,714
mutilation,anger,714
mangle,anger,714
criminal,anger,714
punch,anger,713
denunciation,anger,713
holocaust,anger,712
blasphemous,anger,712
battled,anger,712
dumbasses,anger,712
fatal,anger,712
virulence,anger,712
dontlikeyou,anger,712
hurting,anger,712
crucifixion,anger,712
deranged,anger,706
evil,anger,706
irritated,anger,706
atrocious,anger,706
assassin,anger,703
intimidation,anger,703
persecution,anger,703
slayer,anger,703
kidnap,anger,703
dicks,anger,703
scolding,anger,703
aggravated,anger,703
aggression,anger,702
armed,anger,700
poison,anger,697
snarling,anger,697
venom,anger,697
battle,anger,697
disgruntled,anger,693
assailant,anger,691
insidious,anger,691
resentment,anger,691
contemptuous,anger,690
lynch,anger,690
lunatic,anger,688
mad,anger,688
peeved,anger,688
bully,anger,688
temper,anger,688
infanticide,anger,688
curse,anger,688
domination,anger,688
imprisonment,anger,688
terrible,anger,688
disparage,anger,688
makesmemad,anger,688
volatility,anger,687
eradication,anger,685
scoundrel,anger,682
eradicate,anger,682
tantrum,anger,682
devastate,anger,682
agitation,anger,680
aggressively,anger,680
irritates,anger,676
dictatorship,anger,676
profanity,anger,673
dastardly,anger,672
expletive,anger,672
wreak,anger,672
contempt,anger,672
crime,anger,672
poisonous,anger,672
nasty,anger,672
aggravation,anger,672
condemnation,anger,672
egregious,anger,672
shove,anger,672
shoot,anger,672
shot,anger,672
crushed,anger,672
corrupting,anger,672
harmful,anger,672
cruelly,anger,672
maniac,anger,670
irritable,anger,667
shooting,anger,667
odious,anger,667
shout,anger,667
eruption,anger,667
cutthroat,anger,667
kick,anger,667
hateeveryone,anger,667
hit,anger,667
fight,anger,667
enemy,anger,667
combat,anger,667
aggressive,anger,667
punished,anger,662
yell,anger,661
ambush,anger,661
harass,anger,659
gore,anger,656
expel,anger,656
malignant,anger,656
destruction,anger,656
aggressor,anger,656
incense,anger,656
grudge,anger,656
antichrist,anger,656
cranky,anger,653
reprisal,anger,652
slave,anger,652
growl,anger,652
offended,anger,652
clashing,anger,652
insulting,anger,652
insurrection,anger,652
spank,anger,652
animosity,anger,652
denounce,anger,652
growls,anger,649
executioner,anger,644
twat,anger,644
doomsday,anger,643
bombard,anger,641
feud,anger,641
accused,anger,641
arson,anger,641
daemon,anger,641
shackle,anger,641
indignant,anger,641
obscenity,anger,641
spat,anger,641
havoc,anger,641
grr,anger,641
inexcusable,anger,641
expulsion,anger,641
reprimand,anger,641
somad,anger,637
poisoned,anger,636
kicking,anger,636
wound,anger,636
batter,anger,636
frustrated,anger,636
hanging,anger,636
disgusting,anger,636
spanking,anger,636
suicidal,anger,636
anarchy,anger,636
glaring,anger,636
combatant,anger,636
wrecked,anger,633
inflict,anger,633
grievous,anger,632
cheat,anger,630
prosecute,anger,630
agitated,anger,630
swastika,anger,627
enslaved,anger,625
scourge,anger,625
raid,anger,625
